Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Swap,Facade
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/153305-66,"60 Square Meters Apartment For Sale in Buca, Izmir",2.850.000 TRY,2850000.0,adatepe,153305-66,10/10/2025,For Sale,Apartment,1 + 1,1.0,"60 m2 
/ 55 m2",3 Storey,2,8 at Age,Air Conditioning,Available,Condominium,Furnished,Empty,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-yildiz-satilik/daire/143815-392,"135 Square Meters Apartment For Sale in Buca, Izmir",10.500.000 TRY,10500000.0,yildiz,143815-392,06/10/2025,For Sale,Apartment,4 + 1,3.0,"135 m2 
/ 125 m2",10 Storey,10,New Property,Underfloor Heating,Not Available,Floor Easement,Not Furnished,Owner,No,
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/0-45467967,"90 Square Meters Apartment For Sale in Buca, Izmir",4.100.000 TRY,4100000.0,hurriyet,0-45467967,22/10/2025,For Sale,Apartment,2 + 1,1.0,"90 m2 
/ 70 m2",5 Storey,Middle,7 at Age,Combi Boiler,Not Available,Condominium,Furnished,Tenanted,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/54048-10,"110 Square Meters Apartment For Sale in Buca, Izmir",3.600.000 TRY,3600000.0,adatepe,54048-10,23/10/2025,For Sale,Apartment,3 + 1,1.0,"110 m2 
/ 100 m2",3 Storey,Garden,10 at Age,Air Conditioning,Available,Condominium,Not Furnished,Tenanted,No,"North, South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-yaylacik-satilik/daire/87942-45,"70 Square Meters Apartment For Sale in Buca, Izmir",4.300.000 TRY,4300000.0,yaylacik,87942-45,15/09/2025,For Sale,Apartment,2 + 1,1.0,"70 m2 
/ 60 m2",4 Storey,Raised Ground,New Property,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,"South, West"
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/161350-15,"58 Square Meters Apartment For Sale in Buca, Izmir",2.250.000 TRY,2250000.0,adatepe,161350-15,18/10/2025,For Sale,Apartment,1 + 1,1.0,"58 m2 
/ 52 m2",3 Storey,2,1 at Age,Combi Boiler,Available,Condominium,Furnished,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-mustafa-kemal-satilik/daire/63598-285,"134 Square Meters Apartment For Sale in Buca, Izmir",4.500.000 TRY,4500000.0,mustafa-kemal,63598-285,05/10/2025,For Sale,Apartment,3 + 1,1.0,"134 m2 
/ 124 m2",4 Storey,1,5 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,"South, East, West"
https://www.hepsiemlak.com/en/izmir-buca-firat-satilik/daire/37745-1944,"118 Square Meters Apartment For Sale in Buca, Izmir",4.600.000 TRY,4600000.0,firat,37745-1944,23/09/2025,For Sale,Apartment,3 + 1,1.0,"118 m2 
/ 115 m2",3 Storey,2,20 at Age,Combi Boiler,Available,Condominium,Not Furnished,Owner,No,
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/83315-226,"145 Square Meters Apartment For Sale in Buca, Izmir",3.150.000 TRY,3150000.0,hurriyet,83315-226,22/10/2025,For Sale,Apartment,3 + 1,1.0,"145 m2 
/ 105 m2",4 Storey,Raised Ground,40 at Age,Combi Boiler,Available,Condominium,,Empty,No,
https://www.hepsiemlak.com/en/izmir-buca-yenigun-satilik/daire/148573-340,"155 Square Meters Apartment For Sale in Buca, Izmir",8.400.000 TRY,8400000.0,yenigun,148573-340,15/10/2025,For Sale,Apartment,3 + 1,2.0,"155 m2 
/ 145 m2",4 Storey,1,New Property,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,West
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/51456-7495,"65 Square Meters Apartment For Sale in Buca, Izmir",3.500.000 TRY,3500000.0,ataturk,51456-7495,15/10/2025,For Sale,Apartment,1 + 1,1.0,"65 m2 
/ 59 m2",3 Storey,Top,7 at Age,Combi Boiler,Available,Floor Easement,Furnished,Tenanted,No,"North, South"
https://www.hepsiemlak.com/en/izmir-buca-hurriyet-satilik/daire/124272-488,"130 Square Meters Apartment For Sale in Buca, Izmir",4.750.000 TRY,4750000.0,hurriyet,124272-488,17/10/2025,For Sale,Apartment,2 + 1,2.0,"130 m2 
/ 118 m2",4 Storey,Raised Ground,7 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,
https://www.hepsiemlak.com/en/izmir-buca-baris-satilik/daire/147149-238,"110 Square Meters Apartment For Sale in Buca, Izmir",3.725.000 TRY,3725000.0,baris,147149-238,22/10/2025,For Sale,Apartment,3 + 1,2.0,"110 m2 
/ 95 m2",3 Storey,2,26 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Empty,No,"North, East"
https://www.hepsiemlak.com/en/izmir-buca-karacaagac-satilik/mustakil-ev/134681-98,"505 Square Meters Detached House For Sale in Buca, Izmir",4.850.000 TRY,4850000.0,karacaagac,134681-98,28/09/2025,For Sale,Detached House,3 + 0,1.0,"505 m2 
/ 499 m2",2 Storey,,9 at Age,Heating Stove,Available,Land,Not Furnished,,No,"North, South, East"
https://www.hepsiemlak.com/en/izmir-buca-sirinkapi-satilik/daire/159783-53,"50 Square Meters Apartment For Sale in Buca, Izmir",2.375.000 TRY,2375000.0,sirinkapi,159783-53,21/10/2025,For Sale,Apartment,1 + 1,1.0,"50 m2 
/ 45 m2",3 Storey,Garden,4 at Age,Air Conditioning,Available,Floor Easement,Furnished,Empty,No,West
https://www.hepsiemlak.com/en/izmir-buca-kozagac-satilik/daire/145398-146,"180 Square Meters Apartment For Sale in Buca, Izmir",6.500.000 TRY,6500000.0,kozagac,145398-146,08/10/2025,For Sale,Apartment,3 + 1,1.0,"180 m2 
/ 160 m2",4 Storey,2,11 at Age,Combi Boiler,Available,Floor Easement,Not Furnished,Owner,No,"South, East"
