Link,Baslik,Fiyat (Metin),Fiyat (Sayisal),Konum,Listing No,Last Update Date,Listing status,Residence Type,Number Of Room + Hall,Number of Bathrooms,Gross / Net m²,Number of Floors,Floor,Property Age,Heating Type,Loan Availability,Title Deed Status,Furnishing Status,Usage Status,Inside The Site,Swap,Facade,Property Structure,Fuel Type,Structure Type,State of the Building,Rental Income,Dues,Authorized Office,Last Update Dat...,Number Of Room ...,Number of Bathr...,Number of Floor...,Loan Availabili...,Title Deed Stat...,Furnishing Stat...,Closed Area M2,Open Area M2,Property Struct...,State of the Bu...,Authorized Offi...
https://www.hepsiemlak.com/en/izmir-buca-ataturk-satilik/daire/143815-348,"123 Square Meters Apartment For Sale in Buca, Izmir",5.400.000 TRY,5400000.0,,143815-348,,For Sale,Apartment,,,"123 m2 
/ 110 m2",,Top,15 at Age,Combi Boiler,,,,Empty,,No,"East, West",,Gas,Reinforced Conc...,,30.000 TRY,,,22-10-2025,3 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,Daire,Second Hand,Yes
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/70103-1094,"160 Square Meters Apartment For Sale in Buca, Izmir",5.980.000 TRY,5980000.0,,70103-1094,,For Sale,Apartment,,,"160 m2 
/ 145 m2",,1.,26 at Age,Combi Boiler,,,,Owner,,No,"North, South",,,,,,200 TRY,,12-10-2025,3 + 1,1,3 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/143819-77,"50 Square Meters Apartment For Sale in Buca, Izmir",2.890.000 TRY,2890000.0,,143819-77,,For Sale,Apartment,,,"50 m2 
/ 45 m2",,5.,5 at Age,Central Heating...,,,,Empty,,No,South,,,,,,500 TRY,,14-10-2025,1 + 1,1,5 Storey,Available,Floor Easement,Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/24511-9690,"35 Square Meters Apartment For Sale in Buca, Izmir",1.650.000 TRY,1650000.0,,24511-9690,,For Sale,Apartment,,,"35 m2 
/ 30 m2",,Underground 1,7 at Age,Air Conditionin...,,,,Tenanted,,No,"South, East",,,,,8.000 TRY,100 TRY,,03-10-2025,1 + 0,1,4 Storey,Available,Floor Easement,Furnished,,,Daire,,Yes
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/144360-47,"75 Square Meters Apartment For Sale in Buca, Izmir",1.390.000 TRY,1390000.0,,144360-47,,For Sale,Apartment,,,"75 m2 
/ 70 m2",,3.,New Property,Combi Boiler,,,,Empty,,No,South,,,,,,,,11-10-2025,2 + 1,1,5 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-kurucesme-satilik/daire/70103-1121,"50 Square Meters Apartment For Sale in Buca, Izmir",3.400.000 TRY,3400000.0,,70103-1121,,For Sale,Apartment,,,"50 m2 
/ 40 m2",,9.,4 at Age,Central Heating...,,,,Tenanted,Vita Loft Buca,No,South,,,,,,2 TRY,,12-10-2025,1 + 1,1,11 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-menderes-satilik/daire/87942-37,"45 Square Meters Apartment For Sale in Buca, Izmir",3.100.000 TRY,3100000.0,,87942-37,,For Sale,Apartment,,,"45 m2 
/ 40 m2",,3.,New Property,Combi Boiler,,,,Empty,,No,West,,,,,,,,15-09-2025,1 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/70103-956,"181 Square Meters Apartment For Sale in Buca, Izmir",5.500.000 TRY,5500000.0,,70103-956,,For Sale,Apartment,,,"181 m2 
/ 145 m2",,4.,16 at Age,Combi Boiler,,,,Tenanted,,No,,,,,,,300 TRY,,23-09-2025,3 + 1,2,4 Storey,Available,Condominium,Not Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-efeler-satilik/daire/162032-23,"150 Square Meters Apartment For Sale in Buca, Izmir",4.800.000 TRY,4800000.0,,162032-23,,For Sale,Apartment,,,"150 m2 
/ 140 m2",,4.,17 at Age,Combi Boiler,,,,Empty,,,"South, East, West",,Gas,Reinforced Conc...,,,,,18-09-2025,3 + 1,1,4 Storey,Available,Floor Easement,Not Furnished,,,Daire,0,
https://www.hepsiemlak.com/en/izmir-buca-yaylacik-satilik/daire/151931-38,"70 Square Meters Apartment For Sale in Buca, Izmir",2.685.000 TRY,2685000.0,,151931-38,,For Sale,Apartment,,,"70 m2 
/ 60 m2",,Raised Ground F...,5 at Age,Combi Boiler,,,,Empty,,No,,,,,,,,,01-09-2025,1 + 1,1,4 Storey,Available,Floor Easement,Furnished,,,,,
https://www.hepsiemlak.com/en/izmir-buca-adatepe-satilik/daire/0-45132258,"57 Square Meters Apartment For Sale in Buca, Izmir",1.990.000 TRY,1990000.0,,0-45132258,,For Sale,Apartment,,,"57 m2 
/ 46 m2",,Middle,6 at Age,Air Conditionin...,,,,Tenanted,,No,North,,Gas,Reinforced Conc...,,18.000 TRY,150 TRY,,17-09-2025,1 + 1,1,5 Storey,Available,Floor Easement,Furnished,,,Daire,Second Hand,
